,Country,Region,Happiness Rank,Happiness Score,Dystopia Residual,Personal_sum,Country_sum,cluster
0,Switzerland,Western Europe,1,7.587,2.51738,3.6874499999999997,1.38213,2
1,Iceland,Western Europe,2,7.561,2.70201,3.6523900000000005,1.20652,2
2,Denmark,Western Europe,3,7.527,2.49204,3.5606999999999998,1.47434,2
3,Norway,Western Europe,4,7.522,2.46531,3.67516,1.3817500000000003,2
4,Canada,North America,5,7.427,2.45176,3.55453,1.42065,2
5,Finland,Western Europe,6,7.406,2.61955,3.49762,1.28892,2
6,Netherlands,Western Europe,7,7.378,2.4657,3.50245,1.41,2
7,Sweden,Western Europe,8,7.364,2.37119,3.53165,1.46086,2
8,New Zealand,Australia and New Zealand,9,7.286,2.26425,3.47822,1.54361,2
9,Australia,Australia and New Zealand,10,7.284,2.26646,3.57437,1.4432300000000002,2
10,Israel,Middle East and Northern Africa,11,7.278,3.08854,3.36637,0.82276,3
11,Costa Rica,Latin America and Caribbean,12,7.226,3.17728,3.05393,0.9945599999999999,3
12,Austria,Western Europe,13,7.2,2.5332,3.5246899999999997,1.1419700000000002,2
13,Mexico,Latin America and Caribbean,14,7.187,3.60214,2.7494899999999998,0.83567,3
14,United States,North America,15,7.119,2.51011,3.5034099999999997,1.10599,2
15,Brazil,Latin America and Caribbean,16,6.983,3.26001,2.91113,0.8114399999999999,3
16,Luxembourg,Western Europe,17,6.946,1.96961,3.70248,1.27415,2
17,Ireland,Western Europe,18,6.94,1.9757,3.6007700000000002,1.36381,2
18,Belgium,Western Europe,19,6.937,2.41484,3.49015,1.0324,2
19,United Arab Emirates,Middle East and Northern Africa,20,6.901,2.24743,3.36227,1.2916800000000002,2
20,United Kingdom,Western Europe,21,6.867,1.96994,3.46128,1.43604,2
21,Oman,Middle East and Northern Africa,22,6.853,2.47489,3.2046900000000003,1.1734,2
22,Venezuela,Latin America and Caribbean,23,6.81,3.19131,3.0207200000000003,0.5981799999999999,3
23,Singapore,Southeastern Asia,24,6.798,1.88501,3.5671099999999996,1.34567,2
24,Panama,Latin America and Caribbean,25,6.786,2.84848,3.0586400000000005,0.87914,3
25,Germany,Western Europe,26,6.75,2.11569,3.51915,1.11534,2
26,Chile,Latin America and Caribbean,27,6.67,2.67585,3.0901900000000007,0.90364,3
27,Qatar,Middle East and Northern Africa,28,6.611,1.55674,3.5663500000000004,1.48821,2
28,France,Western Europe,29,6.575,2.21126,3.48395,0.87989,2
29,Argentina,Latin America and Caribbean,30,6.574,2.836,3.0889699999999998,0.64909,3
30,Czech Republic,Central and Eastern Europe,31,6.505,2.67782,3.23024,0.59702,3
31,Uruguay,Latin America and Caribbean,32,6.485,2.32142,3.08216,1.0816000000000001,2
32,Colombia,Latin America and Caribbean,33,6.477,2.85737,2.8495600000000003,0.76987,3
33,Thailand,Southeastern Asia,34,6.455,2.31945,2.97044,1.1648100000000001,2
34,Saudi Arabia,Middle East and Northern Africa,35,6.411,2.43872,3.19959,0.7727799999999999,2
35,Spain,Western Europe,36,6.329,2.12367,3.49952,0.7057599999999999,2
