,Country,Region,Happiness Rank,Happiness Score,pca_component_1,pca_component_2,pca_component_3,cluster
0,Norway,Western Europe,1,7.537000179,-3.2192488337964718,0.7636361237272618,0.9526149192979794,2
1,Denmark,Western Europe,2,7.521999836,-3.3300272617256685,1.1292171327513048,1.154398692006462,2
2,Iceland,Western Europe,3,7.504000187,-2.811866000205059,0.5831486281827948,0.8621115447083725,2
3,Switzerland,Western Europe,4,7.493999958,-3.3143890276942645,0.5719242264127855,0.9646660858677446,2
4,Finland,Western Europe,5,7.468999863,-3.1173893822421106,0.4431391720649383,1.3361811384512903,2
5,Netherlands,Western Europe,6,7.376999855,-2.8108565184519136,1.1725581024396692,0.9246414042848622,2
6,Canada,North America,7,7.315999985,-2.954319847964315,1.0856066965062412,0.7571337090110634,2
7,New Zealand,Australia and New Zealand,8,7.31400013,-3.3146666389291,1.9092858120302891,0.6413949065027144,2
8,Sweden,Western Europe,9,7.28399992,-3.2293398979561063,1.297728996815698,0.6974440289696549,2
9,Australia,Australia and New Zealand,10,7.28399992,-3.0794753028298962,1.3608191354095485,0.5182647563875632,2
10,Israel,Middle East and Northern Africa,11,7.212999821,-1.3991967614722929,-0.9490485543422555,1.3630643608042436,0
11,Costa Rica,Latin America and Caribbean,12,7.078999996,-1.3792317058873778,-0.8835019768199471,2.0059798465753986,0
12,Austria,Western Europe,13,7.006000042,-2.4311692638684357,0.1688513149293348,0.5178922213635656,2
13,United States,North America,14,6.993000031,-1.9890703156175824,0.03380032772019932,0.47406669571907506,2
14,Ireland,Western Europe,15,6.977000237,-2.9903552175767603,1.154542835675387,-0.0913869562952129,2
15,Germany,Western Europe,16,6.951000214,-2.5995296309903817,0.5638179981334324,0.3523058493472067,2
16,Belgium,Western Europe,17,6.890999794,-2.3526807595983814,-0.1703669229875273,0.47775592428358576,2
17,Luxembourg,Western Europe,18,6.862999916,-3.1222153049150747,0.5619335235762432,-0.4101272686752336,2
18,United Kingdom,Western Europe,19,6.714000225,-2.546178875382102,1.3355834670386992,-0.3160383822107441,2
19,Chile,Latin America and Caribbean,20,6.65199995,-0.948209393099264,-0.7245055007826664,0.8421371763699037,0
20,United Arab Emirates,Middle East and Northern Africa,21,6.647999763,-2.565881129330769,1.2829289671035327,-0.005991192412003397,2
21,Brazil,Latin America and Caribbean,22,6.635000229,-0.702054426537058,-1.2143293834279045,1.6082742472592908,0
22,Czech Republic,Central and Eastern Europe,23,6.609000206,-1.0820259262157055,-1.9187263911357926,0.835687343545749,0
