,Country,Region,Happiness Rank,Happiness Score,Dystopia Residual,Personal_sum,Country_sum,cluster
0,Finland,Western Europe,1,7.632,2.585,3.7710000000000004,1.276,2
1,Norway,Western Europe,2,7.594,2.383,3.899,1.312,2
2,Denmark,Western Europe,3,7.555,2.371,3.8089999999999997,1.375,2
3,Iceland,Western Europe,4,7.495,2.426,3.9010000000000002,1.1680000000000001,2
4,Switzerland,Western Europe,5,7.487,2.318,3.896,1.273,2
5,Netherlands,Western Europe,6,7.441,2.448,3.7270000000000003,1.266,2
6,Canada,North America,7,7.328,2.305,3.758,1.265,2
7,New Zealand,Australia and New Zealand,8,7.324,2.156,3.7449999999999997,1.423,2
8,Sweden,Western Europe,9,7.314,2.218,3.769,1.327,2
9,Australia,Australia and New Zealand,10,7.272,2.139,3.8230000000000004,1.31,2
10,United Kingdom,Western Europe,11,7.19,2.817,3.565,0.808,2
11,Austria,Western Europe,12,7.139,2.32,3.7359999999999998,1.083,2
12,Costa Rica,Latin America and Caribbean,13,7.072,2.91,3.2860000000000005,0.876,4
13,Ireland,Western Europe,14,6.977,1.843,3.9069999999999996,1.2269999999999999,2
14,Germany,Western Europe,15,6.965,2.151,3.675,1.139,2
15,Belgium,Western Europe,16,6.927,2.215,3.7010000000000005,1.011,2
16,Luxembourg,Western Europe,17,6.91,1.769,3.992,1.149,2
17,United States,North America,18,6.886,2.227,3.6879999999999997,0.9710000000000001,2
18,Israel,Middle East and Northern Africa,19,6.814,1.912,3.743,1.159,2
19,United Arab Emirates,Middle East and Northern Africa,20,6.774,2.762,3.542,0.47,4
20,Czech Republic,Central and Eastern Europe,21,6.711,2.494,3.5760000000000005,0.641,2
21,Malta,Western Europe,22,6.627,1.785,3.679,1.163,2
22,France,Western Europe,23,6.489,2.028,3.667,0.7939999999999999,2
23,Mexico,Latin America and Caribbean,24,6.488,2.794,3.051,0.643,4
24,Chile,Latin America and Caribbean,25,6.476,2.517,3.2699999999999996,0.6890000000000001,4
25,Taiwan,Eastern Asia,26,6.441,2.136,3.6580000000000004,0.647,2
26,Panama,Latin America and Caribbean,27,6.43,2.336,3.3089999999999997,0.7849999999999999,4
27,Brazil,Latin America and Caribbean,28,6.419,2.593,3.135,0.691,4
28,Argentina,Latin America and Caribbean,29,6.388,2.417,3.285,0.6859999999999999,4
29,Guatemala,Latin America and Caribbean,30,6.382,2.871,2.657,0.8539999999999999,4
30,Uruguay,Latin America and Caribbean,31,6.379,2.146,3.323,0.91,0
31,Qatar,Middle East and Northern Africa,32,6.374,1.593,3.7,1.081,2
32,Saudi Arabia,Middle East and Northern Africa,33,6.371,2.294,3.343,0.734,4
33,Singapore,Southeastern Asia,34,6.343,1.006,3.988,1.3490000000000002,2
34,Malaysia,Southeastern Asia,35,6.322,2.508,3.088,0.726,4
35,Spain,Western Europe,36,6.31,1.891,3.7539999999999996,0.665,2
36,Colombia,Latin America and Caribbean,37,6.26,2.557,3.034,0.669,4
37,Trinidad and Tobago,Latin America and Caribbean,38,6.192,2.148,3.279,0.765,0
38,Slovakia,Central and Eastern Europe,39,6.173,2.164,3.5229999999999997,0.486,0
39,El Salvador,Latin America and Caribbean,40,6.167,2.883,2.676,0.6080000000000001,4
40,Nicaragua,Latin America and Caribbean,41,6.141,2.591,2.6870000000000003,0.863,4
41,Poland,Central and Eastern Europe,42,6.123,2.0,3.405,0.7180000000000001,0
